Location
Singasandra
Hagadur
Garudachar Palya
Varthuru
Vasanth Nagar
Lingarajapura
Jeevanbhima Nagar
Radhakrishna Temple
C V Raman Nagar
Ramaswamypalya
Maruthi Sevanagar
Domlur
Sampangiram Nagar
Sudhama Nagar
Karisandra
Ejipura
Gurappanapalya
Attiguppe
Shakambari Nagar
J P Nagar
Bapuji Nagar
Hosahalli
Nagapura
Subash Nagar
Shiva Nagar
Padarayanapura
KR Market
Thanisandra
Byatarayanapura
RR Nagar
